Cluster,PIB_per,Poblacion,Esperanza.vida,Acceso.electricidad,Area.boscosa,Suscripciones.movil,Crecimiento.PIB,Mortalidad.infantil,Inversion.extranjera,Gasto.salud,Uso.internet,Importaciones,Exportaciones,Tierra.cultivable,Crecimiento.poblacion,Industria,Remesas
1,30681.085134538564,28280806.387096774,78.41546066089694,99.85,36.314464664661095,128.57194677419355,3.5914299050785448,5.938709677419355,5.5028654669450034,8.71301995564516,86.17425806451612,57.19446426210974,56.62179540129371,17.895621360764036,0.32338720567531043,24.727971454046866,2.14176459955624
2,9027.013728565425,85925143.81632653,72.80381981085117,95.42244897959183,24.211354298788798,116.68431224489795,5.474483445464364,16.787755102040816,3.084601924589671,5.7369482475510205,74.1145387755102,50.81923960858817,42.56370123710128,11.57982429001056,1.3521908087140915,30.43475494452949,10.820733626073926
3,1441.381208092985,33999175.93103448,63.95986206896551,51.23103448275862,29.292360084161423,90.01778620689656,4.95102803738261,41.744827586206895,3.147851513914423,5.296505705862069,30.721737931034482,38.15552478197303,27.805287468174722,20.533910549965597,2.4583981106337074,26.031371010860138,5.487675486829303
4,123719.658915996,653103,82.9463414634147,100,34.4538272103664,139.651,-1.09505351160836,2,-391.555119009248,5.55154753,98.242,189.868713761072,222.308456163103,24.0796128120072,2.01666790212729,9.1137991530042,2.75335179079447
