Pais,Cluster,PIB_per,Poblacion,Esperanza.vida,Acceso.electricidad,Area.boscosa,Suscripciones.movil,Crecimiento.PIB,Mortalidad.infantil,Inversion.extranjera,Gasto.salud,Uso.internet,Importaciones,Exportaciones,Tierra.cultivable,Crecimiento.poblacion,Industria,Remesas
Albania,1,6846.42669381643,2777689,78.769,100,28.7919708029197,98.395,4.82669611912765,8.3,7.57934158372429,6.19368076,82.6137,47.5009752834284,37.1970818190154,21.8284671532847,-1.21579032012532,23.025055723682,9.17717165039736
Algeria,2,4961.55257664733,45477389,76.129,100,0.826286664371426,107.787,3.60000000094915,20,0.107160824113693,3.6230433,74.8319,20.3933971934105,30.8089785470304,3.16197401899452,1.58758210690673,43.0480574822468,0.7555043343686
Angola,3,2929.69445467272,35635029,64.246,48.5,52.5364972326943,66.6008,3.04472652391918,39.6,-6.32056384328187,2.92737579,42.0719,25.2994284078973,44.391642097512,4.31940322451271,3.14302612044601,45.180052903576,0.0134152542495911
Antigua and Barbuda,2,20105.1989085164,92840,77.483,100,18.1615909090909,200.541,9.10780623385958,7.5,16.7832252918311,5.7299943,77.1648,62.9797628047534,54.7237649635992,9.09090909090909,0.530270318994476,19.6581959747844,1.86496707164868
Argentina,1,13935.6811110049,45407904,75.806,100,10.3610566048767,131.484,5.26987967384072,8.3,2.40302244246396,9.86305332,88.3754,15.2996935612041,16.248014443903,15.7485867964585,0.210808731072658,24.0075527787773,0.166952666555471
Armenia,2,6571.97445545099,2969200,74.7658536585366,100,11.6336717932132,130.54,12.5999999997766,9.3,4.99991586140552,9.96212864,77.0277,51.1857978005492,50.2249804603907,15.7005807438174,0.2326562627468,25.4370966437794,10.8688335174113
Australia,1,64997.0136536475,26014399,83.2,100,17.4213145571644,109.469,4.24238555336139,3.2,4.16149504206489,9.92687893,97.0424,20.2901822017406,25.5315880289865,4.0646020161154,1.27269881377618,27.48251427159,0.0772998245693154
Austria,1,52176.6649141178,9041851,81.2951219512195,100,47.206131846825,121.166,5.27789448538658,2.7,3.03143362679607,11.15729332,93.6141,62.4207780743465,61.9626734104832,16.0033082888997,0.956287797076634,25.2055400552551,0.638166423005915
Azerbaijan,2,7770.594223351,10141756,74.125,100,13.9724815486993,107.506,4.71468037857544,14.1,-5.67773710614177,3.97840643,88,26.9954251873703,59.9868480668076,25.3103448275862,0.039507866238038,56.1467373576856,5.012251973723
"Bahamas, The",1,34957.1613279737,397538,74.491,100,50.9350649350649,101.624,10.8774550145968,11.6,3.82040434055862,7.21692038,94.7326,38.8240458234989,37.1589142824247,0.799200799200799,0.293483989063331,9.50434632433366,0.416556329514708
