Componente,Eigenvalue,Varianza_Porc,Varianza_Acum
1,4.962908013804788,29.193576551792873,29.193576551792873
2,1.9962421613375536,11.742600949044434,40.9361775008373
3,1.9622550547278226,11.542676792516604,52.478854293353905
4,1.3265415893655093,7.803185819797114,60.28204011315103
5,1.2538095673958705,7.375350396446296,67.65739050959732
6,1.0119920473956003,5.952894396444708,73.61028490604203
7,0.9396670832497694,5.527453430880996,79.13773833692302
8,0.8995418225223047,5.291422485425322,84.42916082234834
9,0.7526843602435559,4.427555060256211,88.85671588260455
10,0.554101201803128,3.259418834136047,92.1161347167406
11,0.428980156817543,2.5234126871620175,94.63954740390261
12,0.33891077248580515,1.9935927793282655,96.63314018323089
13,0.20687504293789166,1.2169120172817156,97.85005220051261
14,0.16791985355600353,0.9877638444470797,98.83781604495968
15,0.10468041970082512,0.6157671747107359,99.45358321967042
16,0.06035377042439825,0.3550221789670485,99.80860539863747
17,0.032537082231629676,0.1913946013625275,100
