"Pais","Cluster","Distancia"
"Czechia",1,0.791097839862624
"Greece",1,0.959116399335812
"Austria",1,1.20718720365536
"Morocco",2,0.698389639558402
"Mexico",2,0.835453882702929
"Jordan",2,0.859521121952461
"Cameroon",3,1.00861661758907
"Tanzania",3,1.21168118090996
"Benin",3,1.26042043095938
