Country,cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7
Albania,1,-1.2313110567703884,1.504661500382295,-0.26344469402501236,-0.19958312976507744,0.17787832229025596,0.3240232131010603,0.10534274775445171
Algeria,1,-0.3701256560976286,-0.30798480068407746,-1.4261375214753351,-0.4517544261187134,-0.5687545681858464,0.970672928045551,-0.7451464645259567
Argentina,1,-1.914067473213029,0.10332594342300691,-0.034392509110565336,-0.7231208147631472,-0.7008532755867687,0.2989689709666285,0.2898280240197883
Armenia,1,-1.1553156155049598,0.8297019405851548,-1.073096356477068,-1.1149696294193447,-0.0023985832932774606,0.29962835254099474,0.9843668788031781
Australia,1,-2.7210188767514802,-1.3579476308608187,0.7401120754972653,-0.3559924874682655,-0.5325047027380777,-0.24102267770638158,1.0974373981741852
Austria,1,-2.2782071519712117,-0.14332425779043817,1.0827586121486301,-0.1443810791152052,0.27358827396533025,-0.5844079283658509,1.1113177944541395
Azerbaijan,1,-0.6556226851892009,0.4122076916045831,-0.7464697344638435,0.4218826969472426,-0.06345286162732056,0.27211104916971224,-0.6043934742985756
"Bahamas, The",1,-1.513556468905961,0.31059793813651776,-0.3165704325361639,-0.24727739151823247,1.0191723447603471,-0.339406906944181,0.774060027385215
Bahrain,1,-2.1005932276798847,-1.4177717275039943,-0.9824029888214765,0.2601959232565771,-0.6444810633293965,-0.510107729736619,-0.7982251533788891
Bangladesh,1,0.8059248326157651,0.3467435732724452,-1.2491120886861398,1.442934065959481,-0.5902450563077974,0.22005244150190956,-0.5102287040938793
Barbados,1,-0.6538258530896439,0.6240449604324106,-1.6596927122922105,0.2665683561077407,0.5506003344628919,-0.4886583365922404,1.2017446923539914
Belarus,1,-1.7078442306372983,1.0947760664976696,1.1111907395708098,0.17996020953413502,-0.1777445239990259,0.12501241062510815,-1.302111677839861
Belgium,1,-2.642812669729641,-0.817265572732723,0.8566670011203856,-0.711291373328656,-0.36019397271235276,-0.027575929705857427,1.1431656398347143
Belize,1,0.46246136581337116,0.6260816279263559,-0.7212966274165968,0.4785121669382528,0.975089235621617,-0.5083716614630349,0.22334148633321746
Benin,2,3.6516505614652113,-0.9176910367584346,-0.2963005085611803,0.518928362442731,-0.08093232259445167,-0.46736190757196183,-0.8395100666581202
Bhutan,1,-0.017959858971810294,1.2693742751954977,-0.012727328158784648,0.8531703041702178,1.1979486101107681,-0.5571275455290567,-0.5640515209443807
Bolivia,1,0.04413644828458621,0.536690020920738,0.638212157082917,0.06116054959409311,0.08445321440555868,-0.2506932523391746,-0.17554619786165923
Bosnia and Herzegovina,1,-1.2704352326392614,2.038503448066776,0.20342858902620786,-0.46691402763544476,0.5041749828732373,0.4354213252140231,0.29478982714476837
Botswana,1,0.9464547980173482,-0.13817666610122176,-1.4322721421454714,-2.2062132924844162,0.6303262002270644,1.3138473988403199,-0.8804550240651156
Brazil,1,-1.1726324097743173,1.1398945382718457,0.5843814771717973,0.18820602607873774,-0.03209953768994975,0.47258119647195945,0.4850512079487063
Brunei Darussalam,1,-1.2915485977580201,0.031977264597873825,0.38697564124532763,0.8587228515916763,1.1188167190377385,-0.30778542320414154,-1.656051083678283
Bulgaria,1,-1.401728736402064,0.9208280025270895,0.43565085943162085,0.06886287383520691,0.019193596884124243,-0.23528013778045723,-0.1005180642045373
Burkina Faso,2,4.7286175097591725,-0.7719606711727511,1.0319133189565772,-0.48591878485163426,-0.5138931374509601,0.04061944029410255,-0.1524979019173519
Burundi,2,5.208509520862728,-0.9655687518080515,1.7566886666960566,-0.12987097308650364,-0.9440449443830059,-0.23225418755941524,1.113999655699018
Cabo Verde,1,-0.6474820869159823,0.44067203856440035,-1.7826635636471992,-0.627840328550524,0.2613342169139656,-0.012634854943664215,0.8281342203642923
Cambodia,1,0.9725683308142938,0.6243176952155503,0.01332840895152159,1.1595525074737205,0.06810784854291248,-0.9585194089147153,-0.669497855132983
Cameroon,2,3.1668893937416622,-0.6569388778432339,0.35401480010160646,0.18308859584140869,0.12508175014259598,-0.2961180681055386,-0.5589733763740281
Canada,1,-2.2281366816316663,-0.8865148074405992,1.1452408943560388,-0.38488137376484166,-0.10246642796387861,-0.27513556605290385,1.405099730470337
Chad,2,6.411508512025124,-1.7489624419199674,-0.2871374797559636,0.10866082397961052,-0.4155013255226569,-0.6139491525391457,0.9848400880217679
Chile,1,-2.1864271480570006,0.2611038752760369,0.37124027298615236,-0.8824137616621277,-0.4861911029849881,0.20463243806051665,0.018727318163529516
China,1,-1.263838373089185,1.4871721179959538,-1.295564407085262,5.441869179261727,-3.9542390392144546,2.997301742952238,1.7779822457179661
Colombia,1,-1.3282113274373941,0.6109699350374224,-0.4365533570301898,-0.33017525231651845,0.4870869708240687,-0.19582136788091398,-0.4308913867349792
Comoros,1,1.9339874379747677,0.1730686363314336,0.4514434351850179,0.005118143661062183,-0.6803301773230364,0.09816403439190727,-0.019559764233019705
"Congo, Dem. Rep.",2,5.207266476787441,-0.9436239249500102,0.4278647700483156,0.5114366828807178,0.5502534067617058,-0.5596240040580069,0.7532507936978348
"Congo, Rep.",2,3.238080871827058,-0.016223502778791588,-0.18259438009315299,-1.0883986326161599,1.27433814648982,0.8130253751235463,-0.8614014239815213
Costa Rica,1,-1.8239480543134323,0.8258313470544365,-0.05916875287966096,-0.4504149261573462,0.7730906083555003,-0.15630219275898846,-0.6409561406532591
Cote d'Ivoire,2,2.655967552366605,-1.171536489150756,-0.8553333437626794,0.18832842698634522,-0.6008746735074891,-0.2675086075234038,-1.3774447050506073
